Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
The Intruder,Official_Bulderme,All Ages,586,1053765,352400000.0,0,0,2021-11-23,2024-11-11,30,Survival,205000.0,24000.0,3,0.8951965065502183,0.10480349344978168
The Powder Box,Ethanthegrand14,All Ages,971,103178,34000000.0,0,0,2022-03-29,2024-11-12,1,Simulation,29000.0,2052.0,2,0.9339173000128816,0.06608269998711835
The Rake REMASTERED,RVVZ,Ages 13+,565,1482233,156200000.0,0,0,2018-09-28,2022-06-24,8,Survival,503000.0,39000.0,4,0.9280442804428044,0.0719557195571956
The Robloxia: Until Dawn,The Robloxia: Until Dawn community,Ages 13+,755,57856,6700000.0,0,0,2024-05-04,2024-11-13,7,Survival,16000.0,3033.0,0,0.8406451951873063,0.1593548048126937
The Vampire Legacies 2 BETA,The Vampire Legacies,Ages 13+,520,62999,10400000.0,0,0,2022-08-12,2024-11-11,30,Roleplay & Avatar Sim,18000.0,1040.0,2,0.9453781512605042,0.054621848739495826
The Wild West,Starboard Studios,All Ages,1459,1514057,274500000.0,0,0,2018-09-05,2024-11-03,30,RPG,575000.0,81000.0,6,0.8765243902439024,0.12347560975609762
therapy 🔊,LINDON55,Ages 9+,1453,312306,72200000.0,0,0,2021-12-19,2024-11-12,30,Social,55000.0,6582.0,3,0.8931181189308565,0.10688188106914354
Those Who Remain,Peak Development Studios,Ages 13+,492,1042440,100700000.0,0,0,2016-08-25,2024-10-26,50,Shooter,380000.0,22000.0,8,0.945273631840796,0.05472636815920395
Throw Me [2 Player Obby],XN Games Studio,All Ages,1056,278873,2900000.0,0,0,2024-04-19,2024-11-12,20,Simulation,2930.0,380.0,0,0.8851963746223565,0.11480362537764355
Timber 2! 🎃,TBlox Studios,All Ages,219,30738,6100000.0,0,0,2023-10-06,2024-11-07,6,Simulation,25000.0,1453.0,1,0.945072392545269,0.05492760745473102
